rank,gid,role,priority_score,why
1,100000000331309100,coordinator,1.0,"Кандидат в координирующий узел: 5 плательщиков → 99 получателей; сигналы S2 Главные факторы: n_seed_upstream: 3, role: coordinator, betweenness: 0.005095346283418953"
2,100000004156082100,coordinator,0.9971220260936301,"Кандидат в координирующий узел: 5 плательщиков → 26 получателей; сигналы S2 Главные факторы: n_seed_upstream: 3, role: coordinator, betweenness: 0.0018328583753305584"
3,100000007908818100,coordinator,0.9879915127985193,"Кандидат в координирующий узел: 4 плательщиков → 6 получателей; сигналы S3 Главные факторы: n_seed_upstream: 4, role: coordinator, betweenness: 0.00017753957884283033"
4,100000008346837100,coordinator,0.9869418987856078,"Кандидат в координирующий узел: 9 плательщиков → 25 получателей; сигналы S2 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.008627313909393785"
5,100000008477350100,coordinator,0.9864227348652431,"Кандидат в координирующий узел: 11 плательщиков → 39 получателей; сигналы S2, S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.0032440602509093953"
6,100000004400305100,coordinator,0.9861970114216062,"Кандидат в координирующий узел: 7 плательщиков → 82 получателей; сигналы S2 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.0020276367302440655"
7,100000003115284100,coordinator,0.9860954358719698,"Кандидат в координирующий узел: 8 плательщиков → 2 получателей; сигналы S3 Главные факторы: n_seed_upstream: 4, role: coordinator, betweenness: 0.00012780471914467138"
8,100000008165763100,consolidator,0.9811972371450499,"Признаки консолидации: 15 плательщиков, деньги от 3 seed за ≤2 колена, получено 1.17 млн, дальше ушло 109% Главные факторы: n_seed_upstream: 3, role: consolidator, betweenness: 0.00032674415793730713"
9,100000004403675100,coordinator,0.9803846327479572,"Кандидат в координирующий узел: 4 плательщиков → 5 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.002877290428991896"
10,100000005287097100,coordinator,0.9801024784434111,"Кандидат в координирующий узел: 2 плательщиков → 9 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.0010907984168859162"
11,100000001530983100,coordinator,0.9786465622319533,"Кандидат в координирующий узел: 4 плательщиков → 11 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.0003322922697761456"
12,100000004188160100,coordinator,0.97746151415286,"Кандидат в координирующий узел: 2 плательщиков → 5 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.0032091864050652675"
13,100000005074393100,coordinator,0.9741433795313982,"Кандидат в координирующий узел: 4 плательщиков → 6 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.00021697080226886072"
14,100000004159526100,coordinator,0.9673716762222924,"Кандидат в координирующий узел: 4 плательщиков → 4 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 9.788454458522118e-05"
15,100000005339662100,coordinator,0.9661979143153807,"Кандидат в координирующий узел: 4 плательщиков → 4 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 8.876978942141516e-05"
16,100000003265158100,coordinator,0.9634666606473749,"Кандидат в координирующий узел: 3 плательщиков → 2 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 0.00017654884458589488"
17,100000006889963100,coordinator,0.9616495869260983,"Кандидат в координирующий узел: 4 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 4, role: coordinator, betweenness: 2.5164650126160102e-05"
18,100000004015047100,consolidator,0.957857433072999,"Признаки консолидации: 9 плательщиков, деньги от 4 seed за ≤2 колена, получено 919 тыс., дальше ушло 8% Главные факторы: n_seed_upstream: 4, role: consolidator, betweenness: 2.3381328463676314e-05"
19,100000004394765100,coordinator,0.9560177870073585,"Кандидат в координирующий узел: 3 плательщиков → 2 получателей; сигналы S1, S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 6.063293652444875e-05"
20,100000006518161100,coordinator,0.9547537357229923,"Кандидат в координирующий узел: 3 плательщиков → 2 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 5.785888060502952e-05"
21,100000005514161100,consolidator,0.9546295878289921,"Признаки консолидации: 4 плательщиков, деньги от 4 seed за ≤2 колена, получено 402 тыс., дальше ушло 12% Главные факторы: n_seed_upstream: 4, role: consolidator, betweenness: 4.042195768296583e-05"
